Link,Title,Modelo,Marca,Ano,Quilometragem,Preço
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-fluence-gt-line-2014-com-teto-solar-top-linha-raridade-financio-866358078,Renault Fluence GT Line 2014 com Teto Solar Top Linha Raridade Financio,RENAULT FLUENCE SEDAN GT LINE 2.0 FLEX AUT.,RENAULT,2014,80000,R$ 45.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-onix-866355393,Vendo onix ,GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2016,42000,R$ 49.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/torrooo-freemont-2012-automatica-6mil-abaixo-fipe-financio-ac-troca-866354963,Torrooo Freemont 2012 Automática 6mil Abaixo Fipe Financio/Ac.Troca,FIAT FREEMONT 2.4 16V 5P AUT.,FIAT,2012,68000,R$ 40.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/kia-cerato-1-6-automatico-vermelho-raridade-ipva-pago-financio-ac-troca-866351391,Kia Cerato 1.6 Automático Vermelho Raridade Ipva pago Financio/Ac.Troca,KIA MOTORS CERATO 1.6 16V  FLEX  AUT.,KIA MOTORS,2014,63000,R$ 47.900
https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/vendo-focus-impecavel-859781852,Vendo Focus impecável,FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,42000,R$ 46.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-edge-3-5-sel-2wd-v6-24v-2014-866333772,Ford Edge 3.5 Sel 2wd V6 24V 2014,FORD EDGE SEL 3.5 V6  24V FWD AUT.,FORD,2014,59000,R$ 68.900
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-sport-1-8-16v-at6-flex-866330124,JEEP RENEGADE SPORT 1.8 16V AT6 FLEX,JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,JEEP,2017,52000,R$ 67.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/spin-2016-automatica-otimo-estado-866328475,Spin 2016 automatica otimo estado,GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2016,48000,R$ 46.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-titanium-plus-4p-866322444,Ford Focus TITANIUM PLUS 4P,FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2016,56000,R$ 61.900
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/focus-titanium-2015-abaixo-fipe-866316819,Focus Titanium 2015 abaixo Fipe ,FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2015,56000,R$ 52.900
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/traker-ltz-862001651,TRAKER LTZ,GM - CHEVROLET TRACKER LTZ 1.8 16V FLEX 4X2 AUT.,GM - CHEVROLET,2015,75000,R$ 58.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/focus-se-plus-2016-impecavel-866307138,Focus SE Plus 2016 Impecável!!!,FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2016,61873,R$ 56.800
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cruze-impecavel-866306197,Cruze IMPECÁVEL !,GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2012,75000,R$ 50.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-city-apenas-43-mil-km-866297343,Honda city apenas 43 mil km ,HONDA CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,HONDA,2013,44000,R$ 44.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-ltz-at-866294084,Chevrolet Tracker LTZ AT,GM - CHEVROLET TRACKER,GM - CHEVROLET,2014,78000,R$ 58.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sportage-lx-2-0-automatica-pneus-novos-ipva-pg-banco-em-couro-baixa-kilometragem-866293168,Sportage Lx 2.0 automatica pneus novos ipva pg banco em couro baixa kilometragem,KIA MOTORS SPORTAGE LX 2.0 16V/ 2.0 16V FLEX  AUT.,KIA MOTORS,2013,79000,R$ 64.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/elantra-1-8-gls-866287554,Elantra 1.8 GLS,HYUNDAI ELANTRA GLS 1.8 16V AUT.,HYUNDAI,2013,44504,R$ 54.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-azera-2015-impecavel-866260122,Hyundai Azera 2015 (impecável),HYUNDAI AZERA 3.0 V6 24V 4P AUT.,HYUNDAI,2015,69000,R$ 68.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carro-862865647,Carro ,HONDA CITY SEDAN EXL 1.5 FLEX  16V 4P AUT.,HONDA,2015,71000,R$ 58.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cobalt-ltz-aut-2014-866243673,CHEVROLET COBALT LTZ AUT 2014,GM - CHEVROLET COBALT ADVANTAGE 1.8 8V ECO.FLEX 4P AUT.,GM - CHEVROLET,2014,74000,R$ 43.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-1-8-flex-prata-2015-866242988,Toyota Corolla 1.8 Flex Prata 2015,TOYOTA COROLLA,TOYOTA,2015,36692,R$ 48.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-1-8-2014-automatico-866235686,Cruze LT 1.8 2014 automático ,GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,69000,R$ 53.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-fastback-se-plus-2016-866235202,Ford Focus Fastback SE Plus 2016,FORD FOCUS FASTBACK SE/SE PLUS 2.0 FLEX AUT.,FORD,2016,76250,R$ 53.900
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-abaixo-da-fipe-866233790,PALIO WEEKEND ABAIXO DA FIPE,FIAT PALIO WEEK. ADV. DUALOGIC 1.8 FLEX,FIAT,2017,57000,R$ 50.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-5-16v-ex-automatico-flex-2015-816315524,Honda Fit 1.5 16v EX automático Flex - 2015,HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,2015,59000,R$ 54.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-at-1-6h-866231367,FORD FOCUS AT 1.6H,FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2015,73000,R$ 46.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-lounge-exclusive-turbo-1-6-thp-ano-2016-com-teto-solar-866224006,Citroen C4 Lounge Exclusive Turbo 1.6 THP - Ano 2016 Com Teto Solar,CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO FLEX AUT.,CITROEN,2016,72000,R$ 59.900
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-fastback-se-se-plus-2-0-flex-aut-2017-flex-834449583,Ford Focus Fastback SE/SE PLUS 2.0 Flex Aut. 2017 Flex,FORD FOCUS FASTBACK SE/SE PLUS 2.0 FLEX AUT.,FORD,2017,54000,R$ 62.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vende-se-toyota-hilux-2-7-srv-flex-2015-branca-866198956,Vende-se | Toyota Hilux 2.7 SRV Flex 2015 Branca,TOYOTA HILUX,TOYOTA,2015,79900,R$ 66.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/suzuki-sx4-s-cross-glx-2016-866195671,Suzuki sx4 S-Cross GLX 2016,SUZUKI SX4 S-CROSS GLX 1.6 16V AUT.,SUZUKI,2016,34000,R$ 64.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-1-4-automatico-2017-oportunidade-866168325,Onix LT 1.4 Automático 2017 - Oportunidade ,GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2017,46185,R$ 49.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/focus-titaniun-plus-859823731,Focus Titaniun Plus ,FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2015,75000,R$ 55.999
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/duster-dyn-4x2-2-0-at-2015-apenas-48-mil-km-automatica-866160102,"Duster Dyn 4x2 2.0 AT 2015, apenas 48 mil km Automática",RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2015,48000,R$ 50.900
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/2012-chevrolet-captiva-em-perfeito-estado-866152963,2012 Chevrolet Captiva em perfeito estado,GM - CHEVROLET CAPTIVA SPORT AWD 3.0 V6 24V 268CV,GM - CHEVROLET,2012,80000,R$ 55.000
https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/polo-highline-1-0-rs-40-000-00-866139277,"POLO HIGHLINE 1.0 RS 40.000,00",VW - VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,2018,75377,R$ 40.000
https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/air-cross-unica-dona-impecavel-866138189,Air Cross única dona impecável ,CITROEN AIRCROSS SHINE 1.6 FLEX 16V 5P AUT.,CITROEN,2018,30000,R$ 59.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiesta-1-6-sel-at-866128902,Fiesta 1.6 Sel At,FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2018,35900,R$ 57.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/prisma-ltz-1-4-automatico-2018-860838571,PRISMA LTZ 1.4 AUTOMÁTICO 2018!!!,GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2018,52000,R$ 58.900
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/peugeot-408-1-6-thp-griffe-com-teto-2015-866116836,Peugeot 408 1.6 thp griffe com teto 2015,PEUGEOT 408 SEDAN GRIFFE 1.6 TB FLEX 16V 4P AUT.,PEUGEOT,2015,75000,R$ 46.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-cross-up-1-0-866111667,Vendo Cross UP 1.0 ,VW - VOLKSWAGEN UP! CROSS I MOTION 1.0 T.FLEX 12V 5P,VW - VOLKSWAGEN,2017,67000,R$ 44.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-3008-1-6-griffe-thp-16v-gasolina-4p-automatico-864691329,Peugeot 3008 1.6 Griffe THP 16V Gasolina 4P Automático,PEUGEOT 3008 GRIFFE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2014,60000,R$ 45.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-titantium-top-de-linha-automatico-866427585,New fiesta titantium top de linha automático ,FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,53000,R$ 46.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/golf-msi-leia-todo-o-anuncio-por-favor-863213452,"Golf MSI - Leia todo o anúncio, por favor!!",VW - VOLKSWAGEN GOLF COMFORTLINE 1.6 MSI TOTAL FLEX AUT.,VW - VOLKSWAGEN,2016,59500,R$ 66.000
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/audi-a1-1-4-ano-2012-866412776,Audi A1 1.4 Ano 2012,AUDI A1 1.4 TFSI 122CV S-TRONIC 3P,AUDI,2012,70000,R$ 40.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-lx-cambio-cvt-858550388,Honda FIT LX Câmbio CVT,HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,2015,80000,R$ 52.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-2008-1-6-griff-2017-864281652,PEUGEOT 2008 1.6 GRIFF 2017,PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,72000,R$ 58.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jetta-1-4-tsi-trendline-2016-866393400,Jetta 1.4 TSI Trendline 2016,VW - VOLKSWAGEN JETTA TRENDLINE 1.4 TSI 16V 4P  AUT.,VW - VOLKSWAGEN,2016,67000,R$ 65.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/troco-volvo-xc-60-por-journey-866384508,Troco Volvo XC 60 por Journey,VOLVO XC-60,VOLVO,2012,72000,R$ 52.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/fiat-bravo-dualogic-2016-abaixo-fipe-866379852,Fiat Bravo dualogic 2016 Abaixo FIPE,FIAT BRAVO ESSENCE DUALOGIC 1.8 FLEX 16V 5P,FIAT,2016,75000,R$ 41.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renalt-fluense-dynamic-2-0-2017-gnv-866376231,Renalt Fluense Dynamic 2.0 2017 GNV,RENAULT FLUENCE SED. DYN. PLUS 2.0 16V FLEX AUT.,RENAULT,2017,68800,R$ 50.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-fluence-gt-line-2014-com-teto-solar-top-linha-raridade-financio-866358078,Renault Fluence GT Line 2014 com Teto Solar Top Linha Raridade Financio,RENAULT FLUENCE SEDAN GT LINE 2.0 FLEX AUT.,RENAULT,2014,80000,R$ 45.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-onix-866355393,Vendo onix ,GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2016,42000,R$ 49.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/torrooo-freemont-2012-automatica-6mil-abaixo-fipe-financio-ac-troca-866354963,Torrooo Freemont 2012 Automática 6mil Abaixo Fipe Financio/Ac.Troca,FIAT FREEMONT 2.4 16V 5P AUT.,FIAT,2012,68000,R$ 40.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/kia-cerato-1-6-automatico-vermelho-raridade-ipva-pago-financio-ac-troca-866351391,Kia Cerato 1.6 Automático Vermelho Raridade Ipva pago Financio/Ac.Troca,KIA MOTORS CERATO 1.6 16V  FLEX  AUT.,KIA MOTORS,2014,63000,R$ 47.900
https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/vendo-focus-impecavel-859781852,Vendo Focus impecável,FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,42000,R$ 46.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-edge-3-5-sel-2wd-v6-24v-2014-866333772,Ford Edge 3.5 Sel 2wd V6 24V 2014,FORD EDGE SEL 3.5 V6  24V FWD AUT.,FORD,2014,59000,R$ 68.900
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-sport-1-8-16v-at6-flex-866330124,JEEP RENEGADE SPORT 1.8 16V AT6 FLEX,JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,JEEP,2017,52000,R$ 67.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/spin-2016-automatica-otimo-estado-866328475,Spin 2016 automatica otimo estado,GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2016,48000,R$ 46.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-titanium-plus-4p-866322444,Ford Focus TITANIUM PLUS 4P,FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2016,56000,R$ 61.900
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/focus-titanium-2015-abaixo-fipe-866316819,Focus Titanium 2015 abaixo Fipe ,FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2015,56000,R$ 52.900
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/traker-ltz-862001651,TRAKER LTZ,GM - CHEVROLET TRACKER LTZ 1.8 16V FLEX 4X2 AUT.,GM - CHEVROLET,2015,75000,R$ 58.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/focus-se-plus-2016-impecavel-866307138,Focus SE Plus 2016 Impecável!!!,FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2016,61873,R$ 56.800
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cruze-impecavel-866306197,Cruze IMPECÁVEL !,GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2012,75000,R$ 50.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-city-apenas-43-mil-km-866297343,Honda city apenas 43 mil km ,HONDA CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,HONDA,2013,44000,R$ 44.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-ltz-at-866294084,Chevrolet Tracker LTZ AT,GM - CHEVROLET TRACKER,GM - CHEVROLET,2014,78000,R$ 58.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sportage-lx-2-0-automatica-pneus-novos-ipva-pg-banco-em-couro-baixa-kilometragem-866293168,Sportage Lx 2.0 automatica pneus novos ipva pg banco em couro baixa kilometragem,KIA MOTORS SPORTAGE LX 2.0 16V/ 2.0 16V FLEX  AUT.,KIA MOTORS,2013,79000,R$ 64.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/elantra-1-8-gls-866287554,Elantra 1.8 GLS,HYUNDAI ELANTRA GLS 1.8 16V AUT.,HYUNDAI,2013,44504,R$ 54.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-azera-2015-impecavel-866260122,Hyundai Azera 2015 (impecável),HYUNDAI AZERA 3.0 V6 24V 4P AUT.,HYUNDAI,2015,69000,R$ 68.990
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carro-862865647,Carro ,HONDA CITY SEDAN EXL 1.5 FLEX  16V 4P AUT.,HONDA,2015,71000,R$ 58.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cobalt-ltz-aut-2014-866243673,CHEVROLET COBALT LTZ AUT 2014,GM - CHEVROLET COBALT ADVANTAGE 1.8 8V ECO.FLEX 4P AUT.,GM - CHEVROLET,2014,74000,R$ 43.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-1-8-flex-prata-2015-866242988,Toyota Corolla 1.8 Flex Prata 2015,TOYOTA COROLLA,TOYOTA,2015,36692,R$ 48.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-1-8-2014-automatico-866235686,Cruze LT 1.8 2014 automático ,GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,69000,R$ 53.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-fastback-se-plus-2016-866235202,Ford Focus Fastback SE Plus 2016,FORD FOCUS FASTBACK SE/SE PLUS 2.0 FLEX AUT.,FORD,2016,76250,R$ 53.900
